id,date,time_wib,status,format,title,caption,asset,instagram_url
1,2026-07-31,LIVE,published,image,Vinyl Study,,posts/editorial-20260731/day-01.jpg,https://www.instagram.com/lajora.brands/p/DbcEhjskwaF/
2,2026-07-31,LIVE,published,image,"Energy, Bound","An editorial cover study built around energy as a moving field. We blurred the boundary between image and surface, letting color behave like light rather than decoration. Quiet from a distance. Alive up close.",posts/editorial-20260731/day-02.jpg,https://www.instagram.com/lajora.brands/p/DbcFzXak_1g/
3,2026-07-31,LIVE,published,image,A Bigger Stage,,posts/editorial-20260731/day-03.jpg,https://www.instagram.com/lajora.brands/p/DbcGEDAEzbr/
4,2026-07-31,LIVE,published,image,Behind the Cloud,A little behind the scenes from our latest visual experiment.,posts/editorial-20260731/day-04.jpg,https://www.instagram.com/lajora.brands/p/DbcGK-sk0ih/
5,2026-07-31,LIVE,published,image,"Fruit, Reframed","A packaging study built from contrast: crisp geometry against hand-made botanical forms, a quiet label inside a loud world. The goal was simple—make the object feel joyful before anyone knows what it is.",posts/editorial-20260731/day-05.jpg,https://www.instagram.com/lajora.brands/p/DbcGPyJE_iH/
6,2026-07-31,LIVE,published,tote,Be Unmissable,,posts/editorial-20260731/day-06.jpg,https://www.instagram.com/lajora.brands/p/DbcGUeRkwGp/
7,2026-07-31,LIVE,published,image,Presence Study,"A study in presence, repetition, and the one shape that refuses to disappear.",posts/editorial-20260731/day-07.jpg,https://www.instagram.com/lajora.brands/p/DbcGY92k3Rb/
8,2026-07-31,LIVE,published,type,Seen Is Not Remembered,,posts/editorial-20260731/day-08.jpg,https://www.instagram.com/lajora.brands/p/DbcGdb7E6rQ/
9,2026-07-31,LIVE,published,image,The Face That Stays,"When every face in the room looks the same, character becomes the clearest form of recognition. This frame explores identity through repetition, interruption, and one deliberately unfamiliar gesture.",posts/editorial-20260731/day-09.jpg,https://www.instagram.com/lajora.brands/p/DbcGh3UE7A4/
10,2026-08-01,09:00,queued_auto,type,Quietly Distinct,,posts/editorial-20260731/day-10.jpg,
11,2026-08-01,11:00,queued_auto,image,Choose Another Door,Different does not have to mean louder.,posts/editorial-20260731/day-11.jpg,
12,2026-08-01,13:00,queued_auto,image,The Chosen Place,,posts/editorial-20260731/day-12.jpg,
13,2026-08-01,15:00,queued_auto,type,Claim a Place,"A typographic study in focus. One field, one interruption, one place to land. The composition strips away explanation and lets position carry the idea.",posts/editorial-20260731/day-13.jpg,
14,2026-08-01,18:00,queued_auto,image,Sound in Color,,posts/editorial-20260731/day-14.jpg,
15,2026-08-01,21:00,queued_auto,image,Inside the Surface,"Built around the tension between restraint and expression. A neutral shell opens to reveal a much louder interior—because personality should feel structural, never applied at the end.",posts/editorial-20260731/day-15.jpg,
16,2026-08-02,09:00,queued_auto,type,"Voice, Made Visible",,posts/editorial-20260731/day-16.jpg,
17,2026-08-02,12:00,queued_auto,image,Enter the Feeling,Feeling enters the room before explanation does.,posts/editorial-20260731/day-17.jpg,
18,2026-08-02,15:00,queued_auto,image,A Rhythm That Stays,"A visual system can repeat without standing still. We used recurring arches, shifting scale, and a single moving trail to explore how consistency becomes memory.",posts/editorial-20260731/day-18.jpg,
19,2026-08-02,18:00,queued_auto,type,Feel First,,posts/editorial-20260731/day-19.jpg,
20,2026-08-02,21:00,queued_auto,image,"Three Poses, One Code",Same code. Different pose.,posts/editorial-20260731/day-20.jpg,
21,2026-08-03,09:00,queued_auto,image,Forms with a Voice,,posts/editorial-20260731/day-21.jpg,
22,2026-08-03,12:00,queued_auto,type,Repeat the Code,Repetition is not sameness. It is the discipline of returning to a recognizable idea while giving it new energy every time.,posts/editorial-20260731/day-22.jpg,
23,2026-08-03,15:00,queued_auto,image,The Detail,,posts/editorial-20260731/day-23.jpg,
24,2026-08-03,18:00,queued_auto,image,A Shared Center,"A shared center turns individual gestures into one living composition. This study uses tension, connection, and a deliberately imperfect network to make closeness visible.",posts/editorial-20260731/day-24.jpg,
25,2026-08-03,21:00,queued_auto,type,Color Has an Attitude,,posts/editorial-20260731/day-25.jpg,
26,2026-08-04,09:00,queued_auto,image,The Small Gesture,The smallest gesture can hold the entire room.,posts/editorial-20260731/day-26.jpg,
27,2026-08-04,12:00,queued_auto,image,How It Felt,"An exploration of atmosphere as memory. Soft material, moving color, and a human gesture work together to create a frame that is understood emotionally before it is read visually.",posts/editorial-20260731/day-27.jpg,
28,2026-08-04,15:00,queued_auto,type,One Detail. Big Memory.,,posts/editorial-20260731/day-28.jpg,
29,2026-08-04,18:00,queued_auto,image,Alignment,Alignment creates the confidence to expand.,posts/editorial-20260731/day-29.jpg,
30,2026-08-04,21:00,queued_auto,type,Not Just Seen. Felt.,,posts/editorial-20260731/day-30.jpg,
